,0
HOXB-AS3,0.0003059403
TRAF3IP3,0.00030590952
LCA5,0.0003050747
SMOX,0.00030325382
ZNF396,0.00030289232
VASH1,0.0003021578
MRVI1-AS1,0.00030111216
AP000769.1,0.0003009501
RP11-399K21.14,0.0002987549
RP11-510M2.2,0.00029747473
RNF43,0.00029614
ALPK3,0.00029502084
FBN3,0.00029472564
RP3-477O4.14,0.0002946385
GIMAP2,0.00029453298
RP11-473M20.16,0.00029290246
RP11-98O2.1,0.00029142087
VASN,0.00029071808
RP11-703H8.7,0.00029055122
IL1RL1,0.00028909865
OLFML3,0.00028901466
SLCO6A1,0.00028862973
EEF1A2,0.00028771325
LINC01356,0.00028646764
RP11-666A20.4,0.0002855248
LINC00858,0.0002852762
AC005618.6,0.00028499425
ZC3HAV1,0.00028486765
EPX,0.00028409556
MMP9,0.0002839673
ALOX12,0.0002838278
RAB33A,0.0002837231
FN1,0.0002834863
TUBA1A,0.00028334375
CTD-2319I12.2,0.00028257506
GBP3,0.00027977774
ABHD1,0.00027764574
P2RY14,0.00027626276
SLC44A5,0.00027585667
ANXA1,0.00027501184
CSF2RA,0.00027377615
AC062029.1,0.00027343023
SIRPB2,0.0002730308
ARSB,0.00027256834
PI16,0.00027215527
LRRC39,0.00027172815
CKM,0.0002701939
CLEC4D,0.00026952484
NXF3,0.00026867772
C1orf132,0.0002678942
RP11-1C1.4,0.00026756094
CCR1,0.00026692322
RP4-761J14.10,0.00026499707
DHX58,0.00026420935
CBARP,0.0002642061
PLD1,0.000263341
POLN,0.00026223823
PSMA4,0.00026183037
CCL4L2,0.0002612355
OPRL1,0.00026091535
ALCAM,0.00026031467
BTNL9,0.00026014916
ALOX5AP,0.00026005146
LINC00294,0.00025907106
RP6-65G23.5,0.00025568687
KIAA1107,0.00025451416
KCNK6,0.0002542322
RNF122,0.00025371052
PIK3IP1-AS1,0.0002524878
PTGDR2,0.00025244753
MYH11,0.00025235867
RP11-403I13.7,0.0002515809
CYBB,0.00025063404
RP11-246A10.1,0.0002501569
TMEM150B,0.00024955065
MYOM2,0.00024810285
SEPT7-AS1,0.0002457523
TCN2,0.00024527533
GCGR,0.00024512797
PRRG4,0.00024354435
FOXA1,0.0002422069
LGALS2,0.00024219119
TTC34,0.00024196217
S100A5,0.00024183665
S100Z,0.00024106151
FLT1,0.00024102183
CYP1B1-AS1,0.00024050236
SCNN1A,0.00024041218
AC006942.4,0.00024019217
KCNN1,0.00023518738
CTB-186G2.1,0.00023365047
RP11-295I5.3,0.00023065464
SGCA,0.0002288933
IFI27,0.00022881036
RP11-329B9.4,0.00022804846
POU3F2,0.00022782214
CHRNE,0.00022605236
MGLL,0.000225466
RP11-597D13.8,0.00022523799
GPR132,0.0002250926
AC005330.2,0.00022474436
NOXA1,0.00022438352
RP11-54O7.3,0.00022422844
ASPHD1,0.00022331714
RP11-315A17.1,0.00022293218
S100A16,0.00022235328
CD24,0.00022118381
OTOF,0.00022101194
RP11-1018N14.1,0.00022085692
CRABP2,0.00021715944
SPARC,0.0002170212
RP1-138B7.7,0.00021694177
CTD-2008P7.8,0.00021518275
RP11-996F15.4,0.00021485396
RP4-798A10.7,0.0002146215
SULT1C2,0.0002146161
INSRR,0.00021461015
GPHA2,0.00021459033
GRK7,0.000214585
LINC00891,0.0002144824
