,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,factor,mapped_gene
36,prerank,Cholesterol Homeostasis,0.5403061363857958,0.9898724808031177,0.53125,0.6316878598848369,1.0,9/25,6.76%,FABP5;ACTG1;TRIB3;ANXA5;ATF3;SQLE;PNRC1;CD9;ATF5,83,SAMD1
37,prerank,Myogenesis,-0.4665219428542548,-0.9874440363982145,0.49206349206349204,0.6345557851239669,1.0,7/68,3.16%,CFD;TGFB1;MYL4;TNNT1;EIF4A2;PTP4A3;GSN,83,SAMD1
38,prerank,Hypoxia,-0.44398651987069593,-0.9368827697936548,0.6551724137931034,0.7046689723320159,1.0,19/78,8.98%,PIM1;WSB1;BTG1;GAPDH;MT2A;CITED2;S100A4;ENO1;GLRX;CCNG2;UGP2;PPP1R15A;CHST3;CDKN1C;TES;PRDX5;MT1E;INHA;ISG20,83,SAMD1
39,prerank,Xenobiotic Metabolism,-0.4542752160329198,-0.9285911533390199,0.5614035087719298,0.6893939393939394,1.0,8/53,7.62%,APOE;MT2A;COMT;PGD;NINJ1;ABCC3;SLC46A3;SERTAD1,83,SAMD1
40,prerank,Bile Acid Metabolism,-0.491903845825705,-0.8970404134184662,0.5740740740740741,0.7226704545454545,1.0,9/26,14.00%,IDH2;FADS1;HSD17B4;PRDX5;SLCO1A2;ACSL1;SLC22A18;OPTN;ABCA1,83,SAMD1
41,prerank,UV Response Up,0.428729195199937,0.8582867729920969,0.723404255319149,0.8648244326521395,1.0,12/45,8.78%,DNAJA1;TFRC;KCNH2;FOS;TAP1;MSX1;ATF3;SQSTM1;DDX21;FOSB;ALAS1;EIF2S3,83,SAMD1
42,prerank,Fatty Acid Metabolism,0.4475318745516211,0.8481203260048492,0.6938775510204082,0.8419705694177864,1.0,6/34,4.22%,HSP90AA1;LDHA;UBE2L6;MDH2;REEP6;GLUL,83,SAMD1
43,prerank,TNF-alpha Signaling via NF-kB,-0.3634516170703014,-0.8250269217409825,0.8245614035087719,0.8279611013986014,1.0,32/105,13.06%,MYC;SOD2;BTG1;NFKBIA;IL6ST;NINJ1;EIF1;PPP1R15A;CCRL2;PHLDA2;PLEK;CEBPB;NFE2L2;DNAJB4;JUNB;SLC2A6;NR4A2;PLAU;TRIB1;ICOSLG;RELB;BIRC3;BCL3;SOCS3;PLAUR;IER3;GPR183;KLF2;SAT1;KLF6;GADD45B;TNFAIP8,83,SAMD1
44,prerank,Estrogen Response Early,0.3612775431710943,0.7931369609776692,0.9111111111111111,0.9085008586725932,1.0,13/58,9.80%,BHLHE40;BLVRB;FOS;ABAT;HES1;AREG;TUBB2B;SLC2A1;B4GALT1;KRT18;IGFBP4;MYB;REEP1,83,SAMD1
45,prerank,DNA Repair,0.4801488376017557,0.7918497951264809,0.782608695652174,0.865595009596929,1.0,7/15,8.84%,NME1;RALA;ARL6IP1;SDCBP;PCNA;COX17;CMPK2,83,SAMD1
46,prerank,UV Response Dn,-0.403982413636962,-0.7750212649847685,0.7636363636363637,0.8724221380471381,1.0,9/33,11.86%,ID1;MYC;CITED2;RUNX1;MT1E;DAB2;ATP2B4;SLC22A18;TFPI,83,SAMD1
47,prerank,Reactive Oxygen Species Pathway,-0.471867880862836,-0.7564394115084092,0.7818181818181819,0.87109375,1.0,7/15,7.50%,SOD2;GLRX;PRDX2;FTL;HHEX;CDKN2D;JUNB,83,SAMD1
48,prerank,KRAS Signaling Dn,0.32799335151536885,0.6669238727948311,1.0,0.9558541266794626,1.0,8/38,11.44%,SKIL;PNMT;RSAD2;YPEL1;BTG2;SGK1;KCNMB1;TNNI3,83,SAMD1
0,prerank,Myc Targets V1,0.8043767963853918,1.6075344694753178,0.0,0.10462873674059787,0.07,18/31,5.80%,NPM1;PSMA4;C1QBP;RANBP1;SSBP1;LDHA;NME1;SRM;CCNA2;RAN;HSP90AB1;SRSF3;PHB;PRDX4;SET;MYC;RPL14;KPNA2,84,SET
1,prerank,UV Response Dn,-0.7654561731088573,-1.568592097228854,0.0,0.0445859872611465,0.07,15/33,10.60%,RUNX1;KIT;TFPI;DAB2;SDC2;ANXA2;CITED2;SLC22A18;MT1E;PRKAR2B;MAP1B;PMP22;TGFBR2;DUSP1;BHLHE40,84,SET
2,prerank,KRAS Signaling Dn,0.6968780269192473,1.4914621746877563,0.0,0.34378013500482163,0.35,11/38,7.54%,MTHFR;PNMT;TFAP2B;BTG2;TNNI3;IGFBP2;SKIL;COL2A1;RSAD2;YPEL1;ZBTB16,84,SET
3,prerank,Wnt-beta Catenin Signaling,0.8912255524403054,1.4804628917909084,0.06818181818181818,0.259080681452909,0.4,3/8,3.38%,CTNNB1;ADAM17;MYC,84,SET
4,prerank,Myc Targets V2,0.8579266863031132,1.4425809990486302,0.06521739130434782,0.2690453230472517,0.5,6/8,6.48%,NPM1;SRM;PHB;WDR43;MYC;PLK1,84,SET
5,prerank,mTORC1 Signaling,0.6535124672116046,1.3910761906200648,0.0,0.3258437801350048,0.62,21/49,8.08%,PSMA4;TM7SF2;LDHA;CACYBP;DHFR;SLC2A1;MLLT11;SQSTM1;HSPA5;CTSC;GAPDH;BTG2;FADS1;IFI30;AURKA;RRM2;PLK1;TRIB3;SQLE;PRDX1;ENO1,84,SET
6,prerank,IL-2/STAT5 Signaling,0.5652052373132075,1.2780951675660643,0.10638297872340426,0.6601575056252009,0.88,24/72,10.88%,CTSZ;CCND3;GADD45B;RHOH;GABARAPL1;ECM1;PIM1;MYC;SWAP70;LTB;CAPG;BCL2L1;CDCP1;CDKN1C;RHOB;IFITM3;RGS16;CISH;SOCS1;TNFRSF9;P2RX4;SCN9A;CKAP4;IL3RA,84,SET
7,prerank,Spermatogenesis,0.6873706654636611,1.2604557607779003,0.11627906976744186,0.6341782614685219,0.91,6/26,8.36%,HBZ;GAD1;TNNI3;CCNB2;AURKA;GSTM3,84,SET
